,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_features,param_n_estimators,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.4948219458262126,0.010410626729329428,-951548813.129311,-484959017.8222441,0.1,auto,100,0.1,"{'subsample': 0.1, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",263,-909152042.5239239,-553834437.8009542,-1123321247.85164,-452390913.14786214,-821906943.9421691,-448651702.5179159,0.007368394064263605,0.007361424759284698,126634233.14583708,48726194.40620246
1,0.6412386099497477,0.010418891906738281,-950391110.1018826,-351942712.30556804,0.1,auto,100,0.2,"{'subsample': 0.2, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",260,-720542753.4065162,-414477635.9866636,-1072829997.2843969,-294031284.4374832,-1058021586.7536501,-347319216.4925573,0.012957069889157475,0.007367269122276167,162723130.76582637,49280580.59402901
2,0.7880596319834391,0.010410388310750326,-774897375.3432728,-275314144.3611656,0.1,auto,100,0.3,"{'subsample': 0.3, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",79,-587640986.1993967,-295103468.2970091,-984411236.2495426,-239563868.38973808,-752594106.313878,-291275096.39674956,0.006287896087725585,0.007361256185404165,162800338.31176934,25327531.553319525
3,0.935012420018514,0.015621105829874674,-806250890.9589529,-236804748.7159946,0.1,auto,100,0.4,"{'subsample': 0.4, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",113,-588658797.3997524,-237838048.91469842,-992822388.9485523,-203230182.97688398,-837335314.9145,-269346014.2564014,0.004475253488427664,4.239711338154201e-06,166509690.95946103,27001562.52788451
4,1.043868859608968,0.01041738192240397,-814946733.1111673,-215546529.32681808,0.1,auto,100,0.5,"{'subsample': 0.5, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",126,-504390400.41385984,-219785659.66289186,-1082972132.835528,-178295847.36358637,-857565178.2918774,-248558080.95397604,0.009604820340479553,0.007366201431052221,238195967.39244393,28840631.48617804
5,1.185521920522054,0.0,-776779146.7304393,-198922689.64077687,0.1,auto,100,0.6,"{'subsample': 0.6, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",81,-536998727.7481391,-208949123.0067012,-1052491687.2549839,-180900031.77464166,-740773090.7817291,-206918914.14098772,0.04156011463055199,0.0,212052007.038798,12770867.483702354
6,1.2306030591328938,0.0,-731242124.2773942,-186884782.37327063,0.1,auto,100,0.7,"{'subsample': 0.7, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",33,-531535802.71529794,-196783358.92467013,-941341280.9337392,-172551662.0524622,-720827904.7487952,-191319326.14267954,0.021305118103469044,0.0,167521271.05569422,10377625.520279856
7,1.2138702074686687,0.007544676462809245,-697385623.984106,-179530057.41880104,0.1,auto,100,0.8,"{'subsample': 0.8, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",13,-528168613.6739226,-183820461.4920071,-967743025.6135058,-163204214.90397757,-596037124.863821,-191565495.86041844,0.014494800458204426,0.006391293439852504,193265486.8994576,11969300.723269265
8,1.213600715001424,0.01041738192240397,-713284409.7520448,-171869340.64100564,0.1,auto,100,0.9,"{'subsample': 0.9, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",23,-513347942.9652199,-180588814.83754084,-885441724.1356472,-159849699.93142608,-741120720.9050679,-175169507.15404996,0.021631588782122377,0.00736620143105222,153225553.09783262,8782408.402885936
9,1.1596655050913494,0.005205313364664714,-700752022.0288385,-180928089.58753428,0.1,auto,100,1,"{'subsample': 1, 'max_features': 'auto', 'n_estimators': 100, 'learning_rate': 0.1}",17,-533322356.4204006,-180532111.47396284,-928799184.1023275,-164742764.8779812,-640009798.2048057,-197509392.4106588,0.02552763982461794,0.007361424756710765,167110328.05242914,13379849.749184467
10,0.9748757680257162,0.005205472310384114,-976994012.8277467,-322617640.1401773,0.1,auto,200,0.1,"{'subsample': 0.1, 'max_features': 'auto', 'n_estimators': 200, 'learning_rate': 0.1}",280,-810205682.2574613,-350199721.24804145,-1098464201.8027468,-258645990.2343201,-1022405401.6279609,-359007208.9381705,0.006288564865329312,0.007361649539902824,122013500.84413615,45377468.370775655
11,1.277644157409668,0.005208174387613933,-1005836486.0931865,-206587597.02924696,0.1,auto,200,0.2,"{'subsample': 0.2, 'max_features': 'auto', 'n_estimators': 200, 'learning_rate': 0.1}",302,-756013641.6971,-197000337.3507654,-1132246459.0765083,-185171533.18326867,-1129503293.4553597,-237590920.55370685,0.02117574224028589,0.007365470854167811,176745727.47736943,22448232.36070036
12,1.5958924293518066,0.015622297922770182,-829471008.6426522,-156370393.0990753,0.1,auto,200,0.3,"{'subsample': 0.3, 'max_features': 'auto', 'n_estimators': 200, 'learning_rate': 0.1}",147,-636209885.4957982,-156108305.17305887,-1021019502.631647,-149158865.45985183,-831187161.7288198,-163844008.66431507,0.03444033877426197,3.8262695049319976e-06,157156335.3435628,5998048.31005447
13,1.9404545625050862,0.015622615814208984,-732723925.3127337,-126900473.112913,0.1,auto,200,0.4,"{'subsample': 0.4, 'max_features': 'auto', 'n_estimators': 200, 'learning_rate': 0.1}",35,-587648015.1572742,-122495089.98948234,-970251706.1784415,-120590933.55869138,-640081824.4158388,-137615395.79056525,0.06268639970087418,3.907931916918515e-06,169401227.4086042,7616369.60409532
