,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_max_iter,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2.1523067951202393,0.0018013954162597657,-0.8005684575253497,-0.6249415787254226,1,100,0.001,"{'C': 1, 'max_iter': 100, 'tol': 0.001}",20,-0.8059324820094762,-0.6242417653013873,-0.7888414292927396,-0.6261843937720177,-0.819694076810811,-0.6222951342455514,-0.8013056430335518,-0.624154482465048,-0.7870686564801691,-0.6278321178431084,0.6660343643955995,0.0022288798709517886,0.011957201458703564,0.0018980375848497723
1,1.82295880317688,0.006249761581420899,-0.8005684575253497,-0.6249415787254226,1,100,0.0001,"{'C': 1, 'max_iter': 100, 'tol': 0.0001}",20,-0.8059324820094762,-0.6242417653013873,-0.7888414292927396,-0.6261843937720177,-0.819694076810811,-0.6222951342455514,-0.8013056430335518,-0.624154482465048,-0.7870686564801691,-0.6278321178431084,0.17366534241851947,0.007654363444636746,0.011957201458703564,0.0018980375848497723
2,1.5334529876708984,0.0010006427764892578,-0.8005600542515283,-0.6249139281910443,1,100,0.005,"{'C': 1, 'max_iter': 100, 'tol': 0.005}",19,-0.8059324820094762,-0.6242417653013873,-0.7888334722801694,-0.6261590185066673,-0.8197127212078014,-0.6222994823273468,-0.8013268926125862,-0.6241325760089443,-0.7869947031476082,-0.6277367988108756,0.07465727554607399,0.0020012855529785156,0.011981712297730221,0.0018663595466723271
3,1.818423366546631,0.011044502258300781,-0.2128092337262067,-0.09447162491507449,10,100,0.001,"{'C': 10, 'max_iter': 100, 'tol': 0.001}",16,-0.22079138688154337,-0.09432688976439625,-0.20115969086778307,-0.09471769041909517,-0.23331400064304336,-0.0939107498542851,-0.21323886559420807,-0.09440783580819569,-0.19554222464445567,-0.09499495872940027,0.14756217240021174,0.006888420187631172,0.013551429963591108,0.00036715791188518976
4,1.855709981918335,0.007250642776489258,-0.2128092337262067,-0.09447162491507449,10,100,0.0001,"{'C': 10, 'max_iter': 100, 'tol': 0.0001}",16,-0.22079138688154337,-0.09432688976439625,-0.20115969086778307,-0.09471769041909517,-0.23331400064304336,-0.0939107498542851,-0.21323886559420807,-0.09440783580819569,-0.19554222464445567,-0.09499495872940027,0.285606217998026,0.007077131818301972,0.013551429963591108,0.00036715791188518976
5,1.7930543422698975,0.007250738143920898,-0.2128092337262067,-0.09447162491507449,10,100,0.005,"{'C': 10, 'max_iter': 100, 'tol': 0.005}",16,-0.22079138688154337,-0.09432688976439625,-0.20115969086778307,-0.09471769041909517,-0.23331400064304336,-0.0939107498542851,-0.21323886559420807,-0.09440783580819569,-0.19554222464445567,-0.09499495872940027,0.12494032581272989,0.0070776024509693475,0.013551429963591108,0.00036715791188518976
6,2.059571552276611,0.008852148056030273,-0.10248840177460107,-0.0247040416086615,50,100,0.001,"{'C': 50, 'max_iter': 100, 'tol': 0.001}",13,-0.10989246685723389,-0.024671122855321335,-0.09091249925027703,-0.024790640201993723,-0.12609758966633644,-0.024423222837448057,-0.10008603630313236,-0.024717453436546792,-0.0854534167960257,-0.024917768711997575,0.3508939795042512,0.006026297717255859,0.014437295626166085,0.00016327969548114225
7,2.126274824142456,0.006127119064331055,-0.10248840177460107,-0.0247040416086615,50,100,0.0001,"{'C': 50, 'max_iter': 100, 'tol': 0.0001}",13,-0.10989246685723389,-0.024671122855321335,-0.09091249925027703,-0.024790640201993723,-0.12609758966633644,-0.024423222837448057,-0.10008603630313236,-0.024717453436546792,-0.0854534167960257,-0.024917768711997575,0.348729346636021,0.005128909176758025,0.014437295626166085,0.00016327969548114225
8,1.7522851943969726,0.005126237869262695,-0.10250096037315802,-0.024706011260359075,50,100,0.005,"{'C': 50, 'max_iter': 100, 'tol': 0.005}",15,-0.10989246685723389,-0.024671122855321335,-0.0910050107539416,-0.024803019878666625,-0.12609758966633644,-0.024423222837448057,-0.10005631779225252,-0.024714922018361774,-0.0854534167960257,-0.024917768711997575,0.2041496200928782,0.0057065954768261325,0.014423502758442456,0.00016463157953268426
9,1.7009138107299804,0.004125356674194336,-0.07921162072260586,-0.013754995255110456,100,100,0.001,"{'C': 100, 'max_iter': 100, 'tol': 0.001}",10,-0.08580699495701917,-0.013727589199387148,-0.0683122480392935,-0.013813755481477388,-0.10466601548177877,-0.013619282405483378,-0.07531027635278321,-0.013754378483332223,-0.06196256878215466,-0.01385997070587214,0.16140515851048626,0.006067465518676563,0.014986472429987236,8.202689719469975e-05
10,1.6304676055908203,0.003124856948852539,-0.07921162072260586,-0.013754995255110456,100,100,0.0001,"{'C': 100, 'max_iter': 100, 'tol': 0.0001}",10,-0.08580699495701917,-0.013727589199387148,-0.0683122480392935,-0.013813755481477388,-0.10466601548177877,-0.013619282405483378,-0.07531027635278321,-0.013754378483332223,-0.06196256878215466,-0.01385997070587214,0.10441622842376726,0.006249713897705078,0.014986472429987236,8.202689719469975e-05
11,1.6874755382537843,0.004726219177246094,-0.0792181666352924,-0.013740713833549831,100,100,0.005,"{'C': 100, 'max_iter': 100, 'tol': 0.005}",12,-0.08576618534064306,-0.013703934855870622,-0.0683122480392935,-0.013813755481477388,-0.10446048162477317,-0.013618417120641569,-0.07558934938959755,-0.013707491003887433,-0.06196256878215466,-0.01385997070587214,0.20152541979878663,0.006269865881706654,0.014899087537753488,8.598862660392133e-05
