,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_features,param_n_estimators,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.0312795639038086,0.0016677379608154297,-7360343.748976732,-103510.1842071482,0.6,auto,100,0.8,"{'max_features': 'auto', 'subsample': 0.8, 'learning_rate': 0.6, 'n_estimators': 100}",7,-8832567.099888394,-111639.63957934424,-6274305.821964968,-91753.54447126684,-6969737.233932953,-107137.36857083351,0.012758982970479614,0.00235853764266963,1080508.561563127,8513.97065487063
1,1.0052576065063477,0.00520936648050944,-7826513.921863249,-72060.23328648477,0.6,auto,100,0.9,"{'max_features': 'auto', 'subsample': 0.9, 'learning_rate': 0.6, 'n_estimators': 100}",13,-8031135.41436811,-76127.98099684349,-6258223.576140378,-70421.67737819227,-9189568.296124788,-69631.04148441854,0.007360862839916675,0.007367156728108248,1204863.4886645465,2894.3859285954827
2,0.901091734568278,0.005211830139160156,-7222147.591320314,-68501.55211641167,0.6,auto,100,1,"{'max_features': 'auto', 'subsample': 1, 'learning_rate': 0.6, 'n_estimators': 100}",2,-7092025.509175226,-74519.18411850822,-6586209.895290569,-53345.88403192693,-7988598.1264985865,-77639.58819879983,0.014730043039935225,0.007370640867585148,579608.1816494283,10792.124805350022
3,5.048957347869873,0.010422786076863607,-8314399.553114052,-4.611774932378768,0.6,auto,500,0.8,"{'max_features': 'auto', 'subsample': 0.8, 'learning_rate': 0.6, 'n_estimators': 500}",24,-7754912.5628438685,-4.471676076311769,-6797989.375660739,-4.8966227701480785,-10391976.861949472,-4.467025950676456,0.014185155528145246,0.007370022745300871,1519085.6039997102,0.2014267839331778
4,4.903529008229573,0.015621264775594076,-8017160.722170987,-1.7807939561292752,0.6,auto,500,0.9,"{'max_features': 'auto', 'subsample': 0.9, 'learning_rate': 0.6, 'n_estimators': 500}",14,-7665526.41848098,-2.104944719245018,-7319079.164190253,-1.6866775142923816,-9067932.542711668,-1.5507596348504256,0.07327283642496116,4.019472953924113e-06,755809.0186577932,0.23583003117978618
5,4.362587769826253,0.015623092651367188,-7324751.790717506,-2.4493173125436254,0.6,auto,500,1,"{'max_features': 'auto', 'subsample': 1, 'learning_rate': 0.6, 'n_estimators': 500}",5,-7121024.8813867895,-3.28096466580247,-6658240.560003768,-1.9473813340034378,-8195601.72328247,-2.1196059378249674,0.009118013679486198,5.408827313478328e-06,643687.7793316792,0.5922518150681078
6,0.28647351264953613,0.00521095593770345,-10425502.461207477,-364081.754145628,0.6,sqrt,100,0.8,"{'max_features': 'sqrt', 'subsample': 0.8, 'learning_rate': 0.6, 'n_estimators': 100}",54,-8551833.69788972,-371407.8677064452,-7721645.4167601215,-323527.33483619225,-15008654.90189547,-397310.05989424646,0.01948603600156094,0.007369404560028829,3256044.0714709046,30563.88483354821
7,0.2862427234649658,0.003670295079549154,-7394503.656282941,-281579.5052906259,0.6,sqrt,100,0.9,"{'max_features': 'sqrt', 'subsample': 0.9, 'learning_rate': 0.6, 'n_estimators': 100}",8,-8053818.76591665,-262955.3729194722,-5888065.303303797,-272572.9304279995,-8239646.974374222,-309210.2125244061,0.015088352933224719,0.002627335430537274,1067115.4143016126,19928.477777402033
8,0.22722125053405762,0.0,-7328809.074601458,-273227.84013783553,0.6,sqrt,100,1,"{'max_features': 'sqrt', 'subsample': 1, 'learning_rate': 0.6, 'n_estimators': 100}",6,-6816587.622607242,-274713.75864914106,-7440799.701673494,-281505.2442834057,-7730578.102082181,-263464.5174809597,0.012771330089873443,0.0,381524.07056332525,7439.664923314931
9,1.1031797726949055,0.015630404154459637,-9159353.72105827,-1225.3784876384573,0.6,sqrt,500,0.8,"{'max_features': 'sqrt', 'subsample': 0.8, 'learning_rate': 0.6, 'n_estimators': 500}",33,-8362844.484799653,-972.2802147809491,-8338655.662564275,-941.1852829946083,-10778952.935439281,-1762.6699651398144,0.1264755492707856,5.0775632365427935e-06,1144413.3997953038,380.1344696660142
10,1.156372865041097,0.015621264775594076,-8356420.430662157,-1046.6576983390332,0.6,sqrt,500,0.9,"{'max_features': 'sqrt', 'subsample': 0.9, 'learning_rate': 0.6, 'n_estimators': 500}",25,-7845748.237242837,-850.3262775298416,-7163509.119881839,-1014.0999300143559,-10061537.484992186,-1275.546887472902,7.311131633776437e-05,4.194782009250846e-06,1236586.5334460477,175.11548187562704
11,0.8615619341532389,0.020835399627685547,-7268241.401019476,-944.8974495671051,0.6,sqrt,500,1,"{'max_features': 'sqrt', 'subsample': 1, 'learning_rate': 0.6, 'n_estimators': 500}",3,-7217746.681061713,-951.3874995330493,-5844079.243299948,-795.2078629311299,-8743049.914492436,-1088.0969862371362,0.0015861379655958759,0.0073650811013774645,1183448.283768929,119.65951751855648
12,0.26043375333150226,0.005204995473225911,-10167246.538637072,-497512.1183390573,0.6,log2,100,0.8,"{'max_features': 'log2', 'subsample': 0.8, 'learning_rate': 0.6, 'n_estimators': 100}",49,-6375542.892612372,-470151.75729577197,-10129621.537911765,-504589.52962515,-14007961.682822585,-517795.0680962499,0.007362607756600624,0.00736097519032665,3116810.6841958193,20083.8007507231
