,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_features,param_n_estimators,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.227172040939331,0.0039233207702636715,-7861330.509888862,-180290.1881076175,0.6,auto,100,0.8,"{'n_estimators': 100, 'max_features': 'auto', 'learning_rate': 0.6, 'subsample': 0.8}",10,-8340103.12675629,-191569.51158665688,-6354719.478534525,-203089.4300787606,-8852786.245322503,-170137.30006041433,-8703864.510926351,-179337.91294469647,-7055179.187904647,-157316.78586755914,0.057869650436980724,0.006049341900392584,984055.6885284556,15992.45914030746
1,1.1903425216674806,0.0031234264373779298,-8945726.187490072,-144778.5744891837,0.6,auto,100,0.9,"{'n_estimators': 100, 'max_features': 'auto', 'learning_rate': 0.6, 'subsample': 0.9}",35,-7429681.582899742,-154016.83417869604,-6949749.370387018,-163649.3055056168,-7745595.251032645,-134164.3245837597,-14716009.666852135,-138200.19005968818,-7887595.066278818,-133862.21811815782,0.05569100602293652,0.00624685287475586,2903048.1175494497,11971.250647795312
2,1.0477527141571046,0.006249809265136718,-8687752.5796114,-121538.06349851369,0.6,auto,100,1,"{'n_estimators': 100, 'max_features': 'auto', 'learning_rate': 0.6, 'subsample': 1}",30,-7084705.25984372,-106269.43794604711,-7580193.583836865,-147925.5108947997,-8061077.932250488,-116145.9765232701,-13855650.069285145,-120205.79351023001,-6857136.052840787,-117143.59861822153,0.018628959322813384,0.007654422095658056,2617154.564944236,13997.065215305603
3,5.946546459197998,0.015622663497924804,-9389036.953230662,-42.02100021469737,0.6,auto,500,0.8,"{'n_estimators': 500, 'max_features': 'auto', 'learning_rate': 0.6, 'subsample': 0.8}",44,-7158974.203890345,-42.805456113681075,-7540476.952130787,-48.193855255083875,-9010449.503375802,-24.48908801923865,-12712464.03345533,-45.85905163483805,-10522820.07330104,-48.75755005064521,0.05640102609721991,6.184929034077058e-06,2042758.6309584624,9.013314573809154
4,5.736366319656372,0.009374427795410156,-8447112.527543722,-18.982180721922298,0.6,auto,500,0.9,"{'n_estimators': 500, 'max_features': 'auto', 'learning_rate': 0.6, 'subsample': 0.9}",22,-7865864.880707736,-19.42695310698023,-5724741.110091039,-22.571055896862855,-8541488.323935969,-17.370909709984463,-12453339.507614756,-17.505515876144926,-7650128.815369111,-18.036469019639036,0.041092391505117724,0.007654188456987886,2211022.3610710534,1.9364375259902462
5,5.135846328735352,0.012505435943603515,-8490864.9404146,-20.154037213366138,0.6,auto,500,1,"{'n_estimators': 500, 'max_features': 'auto', 'learning_rate': 0.6, 'subsample': 1}",23,-7633960.213778907,-12.645140915019265,-7939273.713385287,-26.32961355124216,-7819005.667367602,-17.198349826999266,-12110173.70263615,-26.82686147571787,-6951911.404905052,-17.77022029785212,0.046023361450149194,0.006252718634535154,1841613.8235686962,5.540153813263861
6,0.3014347553253174,0.0031233787536621093,-8656934.98460146,-522460.9489608578,0.6,sqrt,100,0.8,"{'n_estimators': 100, 'max_features': 'sqrt', 'learning_rate': 0.6, 'subsample': 0.8}",29,-6493786.206289032,-490478.78710551036,-7523923.8708728505,-598182.016187577,-7834622.2307070615,-507697.8800886197,-8412696.679294141,-566642.8562746656,-13019645.935844216,-449303.2051479166,0.009573167160494776,0.006246757507324219,2268568.9004320474,53438.90589281793
7,0.29573955535888674,0.006248903274536133,-7626130.684063499,-415901.16629863,0.6,sqrt,100,0.9,"{'n_estimators': 100, 'max_features': 'sqrt', 'learning_rate': 0.6, 'subsample': 0.9}",9,-6538859.736919174,-408520.6323761069,-5888194.261901852,-456680.55114580895,-6783345.914287584,-361115.98797469604,-10594141.71357972,-449492.5632788774,-8326111.793629166,-403696.09671766043,0.0023034370773556993,0.007653312594191822,1685937.7398483674,34630.02150747807
8,0.22500715255737305,0.01562662124633789,-7997677.5900641335,-409767.6120497704,0.6,sqrt,100,1,"{'n_estimators': 100, 'max_features': 'sqrt', 'learning_rate': 0.6, 'subsample': 1}",11,-6410343.78121675,-355781.69097252237,-6091728.815752428,-450460.64037338557,-7369798.244926095,-435791.49038082914,-11118869.399114441,-424431.1002363151,-8997647.709310954,-382373.13828580023,0.012503696536654452,7.236936672487475e-06,1859477.3658923863,35250.87105504468
9,1.3073594093322753,0.012498283386230468,-8227461.05840734,-4351.9408671285355,0.6,sqrt,500,0.8,"{'n_estimators': 500, 'max_features': 'sqrt', 'learning_rate': 0.6, 'subsample': 0.8}",18,-7021430.692661936,-4544.121365143627,-6750436.723503709,-5050.782143553043,-8509988.475098467,-3122.879834671845,-10462611.15724802,-4992.844773095244,-8392838.243524564,-4049.0762191789177,0.007751539424582975,0.006249145142391877,1322057.2943624242,712.5150253316066
10,1.2593754291534425,0.012501335144042969,-8027383.030902562,-3093.736509014586,0.6,sqrt,500,0.9,"{'n_estimators': 500, 'max_features': 'sqrt', 'learning_rate': 0.6, 'subsample': 0.9}",12,-6941058.1175019005,-2333.2383292720383,-8468897.567325465,-3408.4292101573046,-9056841.985176327,-2618.146028921863,-8595385.947162986,-4075.490661809051,-7074731.537346134,-3033.3783149126707,0.009909780102354713,0.006250670563938766,856153.5870318781,611.7286343508006
